City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aasiaat,68.7098,-52.8699,-18.62,88,39,2.72,GL,1730174453
1,hawaiian paradise park,19.5933,-154.9731,24.39,96,100,3.67,US,1730174314
2,blackmans bay,-43.0167,147.3167,21.07,47,13,2.7,AU,1730174268
3,ribeira grande,38.5167,-28.7,18.21,69,45,3.42,PT,1730174366
4,berdigestyakh,62.0989,126.6992,-10.73,91,100,1.76,RU,1730174458
5,helena valley west central,46.6629,-112.0604,2.49,70,0,0.45,US,1730174463
6,val-d'or,48.1002,-77.7828,2.05,41,100,7.2,CA,1730174344
7,adamstown,-25.066,-130.1015,21.05,75,16,3.1,PN,1730174278
8,akureyri,65.6835,-18.0878,4.96,75,75,3.09,IS,1730174467
9,kingston,17.997,-76.7936,28.53,84,20,3.6,JM,1730174386
10,tamanrasset,22.785,5.5228,16.95,27,0,3.09,DZ,1730174470
11,jamestown,42.097,-79.2353,9.8,77,0,3.09,US,1730174409
12,island harbour,50.724,-1.2758,14.45,73,97,0.89,GB,1730174472
13,port-aux-francais,-49.35,70.2167,2.48,89,98,8.3,TF,1730174313
14,porto velho,-8.7619,-63.9039,25.03,94,0,0.0,BR,1730174395
15,lagunas,-5.2269,-75.6753,22.43,99,100,0.9,PE,1730174476
16,happy valley-goose bay,53.3168,-60.3315,-0.83,64,75,5.66,CA,1730174477
17,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,45,75,12.0,RU,1730174478
18,kapuskasing,49.4169,-82.4331,4.05,75,100,8.23,CA,1730174479
19,iqaluit,63.7506,-68.5145,-7.15,85,100,4.12,CA,1730174390
20,ushuaia,-54.8,-68.3,5.81,70,0,2.57,AR,1730174455
21,kourou,5.1552,-52.6478,24.25,86,100,1.81,GF,1730174483
22,afaahiti,-17.75,-149.2833,23.24,71,93,7.72,PF,1730174484
23,grytviken,-54.2811,-36.5092,-0.31,96,100,2.37,GS,1730174327
24,college,64.8569,-147.8028,-5.52,86,100,1.54,US,1730174474
25,talnakh,69.4865,88.3972,-8.75,95,95,3.12,RU,1730174137
26,wailua homesteads,22.0669,-159.378,25.44,88,75,6.69,US,1730174352
27,waitangi,-43.9535,-176.5597,14.34,84,28,2.24,NZ,1730174284
28,tual,-5.6667,132.75,28.2,76,33,2.19,ID,1730174491
29,semirara,12.0697,121.3986,27.61,84,99,11.53,PH,1730174492
30,port elizabeth,-33.918,25.5701,16.29,99,100,8.75,ZA,1730174451
